                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.60453,                0.86199,                 1.0357,                0.96447,                0.16383,                 0.2221,                0.13233,                0.09998,                0.17046,                0.23725,                0.14007,                0.11245,                 1.0723,                 2.6107,                 3.1032,                 1.3134,              0.0007921,              0.0007921,              0.0007921
                     45,                 0.5686,                0.81695,                 0.9575,                0.93127,                0.17603,                0.21183,                0.14831,                0.12199,                0.16964,                 0.2133,                0.14801,                 0.1258,                 1.0332,                 2.6514,                 3.1235,                 1.2882,             0.00078715,             0.00078715,             0.00078715
                     46,                0.58126,                0.86536,                0.90559,                0.94112,                0.17468,                0.20564,                0.15327,                0.11163,                0.17468,                0.20564,                0.15787,                0.11998,                 1.0154,                 2.8913,                  3.337,                 1.2585,              0.0007822,              0.0007822,              0.0007822
                     47,                0.59859,                0.88751,                 1.0028,                0.94042,                0.13583,                0.21399,                0.12716,                0.08977,                0.14863,                0.25319,                0.12112,                0.09169,                0.99831,                 2.6975,                 3.2572,                 1.2304,             0.00077725,             0.00077725,             0.00077725
                     48,                0.57769,                0.83244,                 0.9449,                0.94517,                0.17029,                0.26905,                0.15384,                0.12723,                0.17029,                0.26905,                0.15204,                0.12889,                0.91838,                 2.7171,                 2.9756,                 1.1325,              0.0007723,              0.0007723,              0.0007723
                     49,                0.53759,                0.77786,                0.90203,                0.92941,                0.15128,                0.21198,                0.14963,                0.11012,                0.15128,                0.21198,                0.14932,                0.11071,                0.89152,                 2.5675,                 3.0886,                 1.1109,             0.00076735,             0.00076735,             0.00076735
                     50,                0.55506,                0.76363,                0.88358,                0.92835,                0.18976,                0.20563,                0.14071,                0.11458,                0.19759,                0.22494,                0.14968,                0.11615,                0.96317,                 2.3434,                 3.2352,                 1.1899,              0.0007624,              0.0007624,              0.0007624
                     51,                0.54906,                0.77513,                0.92022,                0.94499,                0.19446,                0.23967,                0.15474,                0.12289,                0.20757,                 0.2616,                0.15985,                0.13484,                0.91041,                 2.2151,                 3.1433,                 1.1824,             0.00075745,             0.00075745,             0.00075745
                     52,                 0.5801,                0.79095,                0.91233,                0.95897,                0.13165,                0.25767,                0.16106,                0.12968,                0.13405,                0.25767,                0.15519,                0.13007,                0.90545,                 2.5018,                 3.0671,                 1.1603,              0.0007525,              0.0007525,              0.0007525
                     53,                0.55963,                0.77651,                0.86838,                0.93892,                0.16572,                0.24339,                 0.1545,                0.12546,                0.16644,                0.24339,                0.14823,                0.12035,                 0.8552,                  2.588,                 2.9977,                 1.1347,             0.00074755,             0.00074755,             0.00074755
                     54,                   0.55,                 0.7737,                0.85908,                0.95064,                0.15823,                 0.1809,                0.16603,                0.13381,                0.15823,                 0.1809,                0.16154,                0.12833,                0.87575,                 2.8046,                 2.9632,                 1.1543,              0.0007426,              0.0007426,              0.0007426
                     55,                0.58468,                  0.895,                0.89588,                0.95658,                0.19036,                0.22937,                0.17184,                0.13162,                0.19036,                0.22937,                0.16972,                0.12215,                0.93374,                 2.5464,                 2.9856,                 1.1875,             0.00073765,             0.00073765,             0.00073765
                     56,                0.55478,                0.74423,                0.83327,                0.93623,                0.43424,                0.13228,                0.15685,                0.13539,                0.43424,                0.13228,                0.16042,                0.12442,                0.95104,                 2.5688,                 3.2051,                 1.1932,              0.0007327,              0.0007327,              0.0007327
